condition,model_name,label_column,frame,true_label,prediction,probability,correct,error_type,image_path,example_type
normal,pedestrian,has_pedestrian,31170,1,0,0.010954265482723713,False,false_negative,/Users/niveditakowlagi/Documents/DKE/SoSe 2026/Intro to ML/ML_Safety_Exercise3/data/exercise_6_6/normal/test/segmentation-front/031170.png,false_negative
normal,traffic_light,has_traffic_light,3830,1,0,0.000257049803622067,False,false_negative,/Users/niveditakowlagi/Documents/DKE/SoSe 2026/Intro to ML/ML_Safety_Exercise3/data/exercise_6_6/normal/test/segmentation-front/003830.png,false_negative
normal,vehicle,has_vehicle,25590,1,1,0.9963803887367249,True,correct,/Users/niveditakowlagi/Documents/DKE/SoSe 2026/Intro to ML/ML_Safety_Exercise3/data/exercise_6_6/normal/test/segmentation-front/025590.png,correct_positive
fog,pedestrian,has_pedestrian,2580,1,0,0.004684498533606529,False,false_negative,/Users/niveditakowlagi/Documents/DKE/SoSe 2026/Intro to ML/ML_Safety_Exercise3/data/exercise_6_6/fog/test-fog/segmentation-front/002580.png,false_negative
fog,traffic_light,has_traffic_light,7730,1,0,2.7257727197138593e-05,False,false_negative,/Users/niveditakowlagi/Documents/DKE/SoSe 2026/Intro to ML/ML_Safety_Exercise3/data/exercise_6_6/fog/test-fog/segmentation-front/007730.png,false_negative
fog,vehicle,has_vehicle,1470,1,1,0.998855471611023,True,correct,/Users/niveditakowlagi/Documents/DKE/SoSe 2026/Intro to ML/ML_Safety_Exercise3/data/exercise_6_6/fog/test-fog/segmentation-front/001470.png,correct_positive
night,pedestrian,has_pedestrian,31200,1,0,0.008206875063478947,False,false_negative,/Users/niveditakowlagi/Documents/DKE/SoSe 2026/Intro to ML/ML_Safety_Exercise3/data/exercise_6_6/night/test-night/segmentation-front/031200.png,false_negative
night,traffic_light,has_traffic_light,13680,1,0,0.00011099714174633846,False,false_negative,/Users/niveditakowlagi/Documents/DKE/SoSe 2026/Intro to ML/ML_Safety_Exercise3/data/exercise_6_6/night/test-night/segmentation-front/013680.png,false_negative
night,vehicle,has_vehicle,20100,1,1,0.9974839687347412,True,correct,/Users/niveditakowlagi/Documents/DKE/SoSe 2026/Intro to ML/ML_Safety_Exercise3/data/exercise_6_6/night/test-night/segmentation-front/020100.png,correct_positive
town_01,pedestrian,has_pedestrian,18450,1,0,0.007783569861203432,False,false_negative,/Users/niveditakowlagi/Documents/DKE/SoSe 2026/Intro to ML/ML_Safety_Exercise3/data/exercise_6_6/town_01/test-town-01/segmentation-front/018450.png,false_negative
town_01,traffic_light,has_traffic_light,2170,1,0,7.938603084767237e-05,False,false_negative,/Users/niveditakowlagi/Documents/DKE/SoSe 2026/Intro to ML/ML_Safety_Exercise3/data/exercise_6_6/town_01/test-town-01/segmentation-front/002170.png,false_negative
town_01,vehicle,has_vehicle,4450,1,1,0.9973450303077698,True,correct,/Users/niveditakowlagi/Documents/DKE/SoSe 2026/Intro to ML/ML_Safety_Exercise3/data/exercise_6_6/town_01/test-town-01/segmentation-front/004450.png,correct_positive
